Bidder,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20
24fffcaf-134a-4a99-9756-f9261b74ed6a,4800.0,2015.0,2045.0,2032.0,2086.0,2085.0,2127.0,2114.0,2142.0,2132.0,2185.0,2152.0,2218.0,2181.0,2232.0,2214.0,2267.0,2229.0,2314.0,2239.0
d42271d5-7367-4ffb-95a5-4d1cb2b0dc59,3816.0,2028.0,2017.0,2070.0,2057.0,2098.0,2102.0,2141.0,2124.0,2160.0,2146.0,2197.0,2157.0,2224.0,2195.0,2241.0,2225.0,2285.0,2237.0,2333.0
6f15d700-facb-45be-aaba-bbd1fb359833,2000.0,1023.0,540.0,316.0,573.0,369.0,603.0,398.0,630.0,437.0,682.0,462.0,383.0,494.0,520.0,535.0,550.0,563.0,599.0,599.0
8b105e0d-9c93-499f-b67f-2f2a26407871,1000.0,535.0,272.0,545.0,332.0,579.0,375.0,614.0,415.0,657.0,458.0,363.0,466.0,496.0,518.0,537.0,544.0,572.0,593.0,613.0
722ba2cc-8354-4029-adf5-9b901b4afb5c,744.0,252.0,299.0,302.0,334.0,366.0,397.0,392.0,293.0,434.0,337.0,364.0,480.0,491.0,510.0,542.0,552.0,551.0,575.0,347.0
327b7d84-2646-4818-a1ee-a45a2e7d716c,600.0,247.0,287.0,328.0,341.0,361.0,390.0,410.0,302.0,323.0,334.0,356.0,473.0,496.0,500.0,270.0,295.0,316.0,339.0,340.0
2de3966f-0109-4c7b-b4a1-fd1dde8b3bb4,520.0,258.0,274.0,311.0,351.0,344.0,373.0,291.0,411.0,318.0,331.0,339.0,392.0,499.0,246.0,274.0,297.0,300.0,336.0,342.0
409c8972-a5fa-4233-8b47-7d3d4e4ba961,432.0,250.0,295.0,313.0,334.0,346.0,244.0,291.0,300.0,313.0,332.0,337.0,372.0,294.0,269.0,249.0,288.0,319.0,319.0,348.0
6bcbb8b0-002d-43b4-ae73-e270e1318efd,400.0,251.0,279.0,318.0,323.0,356.0,260.0,260.0,302.0,320.0,252.0,249.0,365.0,286.0,247.0,285.0,291.0,298.0,320.0,345.0
3a100534-7b8b-4536-9e35-73b4ae6b2a59,240.0,250.0,260.0,284.0,275.0,265.0,244.0,265.0,271.0,279.0,245.0,265.0,265.0,240.0,240.0,258.0,254.0,267.0,291.0,294.0
dc3506ad-c068-4aaa-b00f-145d816adefb,240.0,270.0,270.0,274.0,240.0,240.0,285.0,266.0,269.0,240.0,293.0,258.0,288.0,293.0,244.0,248.0,264.0,276.0,279.0,240.0
54061b39-6e18-45d1-93f4-13adb3ea1986,224.0,251.0,253.0,224.0,224.0,224.0,266.0,262.0,273.0,224.0,224.0,264.0,273.0,224.0,224.0,253.0,262.0,268.0,224.0,224.0
b4f89140-1764-4d50-889e-95aae2ed8403,216.0,261.0,251.0,216.0,216.0,216.0,216.0,265.0,216.0,216.0,216.0,262.0,216.0,216.0,216.0,257.0,256.0,269.0,216.0,216.0
fd0b1082-2d68-43c6-849e-6ef7f092c09d,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0
af413332-8015-480c-9bc5-132de70f9e1d,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0
e7659286-f17e-4d25-ae1b-7bf7bfe55ab5,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0
ec841a13-dd12-4248-8d11-11345d4cce01,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0
62ac6e40-3734-4c74-bb74-def009626725,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0
a95a3cdb-33ba-4e42-a9f4-65e79509bfc6,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
ccebcd2f-3eb2-410c-a443-cf8e1fb4fc78, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0, 80.0
