Bidder,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20
44b9f088-7d6e-48c9-91a9-ab0fca5cdeeb,2920.0,2430.0,1267.0,1275.0,1306.0,1320.0,1336.0,1350.0,1383.0,1396.0,1431.0,1437.0,1456.0,1479.0,1485.0,1513.0,1529.0,1524.0,1551.0,1565.0
65a8c2a7-eec2-4857-a2de-37bfc8a2aeed,2400.0,1260.0,1270.0,1278.0,1310.0,1327.0,1348.0,1368.0,1391.0,1395.0,1430.0,1452.0,1461.0,1479.0,1489.0,1493.0,1520.0,1534.0,1545.0,1578.0
c3ad7094-88ae-4a82-a9e1-00bf7acf29e2,1736.0,1260.0,631.0,1295.0,1284.0,1333.0,1344.0,1367.0,1384.0,1406.0,1416.0,1453.0,1461.0,1471.0,1487.0,1499.0,530.0,1536.0,583.0,328.0
eb6f6305-3b58-42bc-ad3b-78e7af67498e,1240.0,604.0,261.0,640.0,305.0,347.0,369.0,397.0,418.0,426.0,445.0,457.0,465.0,347.0,493.0,373.0,533.0,537.0,317.0,587.0
b5f02143-b63e-4062-bb82-0624909e55ac,1200.0,598.0,260.0,635.0,322.0,356.0,380.0,386.0,409.0,432.0,430.0,463.0,312.0,490.0,363.0,512.0,384.0,540.0,311.0,605.0
68174ae2-58b2-485c-a89f-6905b3a47234,816.0,216.0,266.0,304.0,307.0,357.0,365.0,404.0,418.0,429.0,289.0,287.0,327.0,343.0,348.0,370.0,381.0,559.0,315.0,318.0
a6cfc08a-6297-4eed-9ffa-a4db41083060,576.0,219.0,276.0,271.0,309.0,343.0,372.0,384.0,414.0,261.0,249.0,302.0,313.0,231.0,354.0,351.0,256.0,291.0,230.0,322.0
20d08fc0-b213-4d18-ba9a-6ce7ec9df829,424.0,217.0,259.0,291.0,324.0,354.0,223.0,251.0,220.0,214.0,266.0,308.0,225.0,335.0,264.0,244.0,254.0,289.0,209.0,236.0
bcbad0a2-c502-44ba-9e8a-16ade955ece5,400.0,221.0,257.0,298.0,329.0,213.0,245.0,247.0,213.0,242.0,282.0,311.0,224.0,210.0,227.0,243.0,261.0,279.0,219.0,215.0
30284a72-15db-4f39-8699-5e6394d9eb6e,224.0,213.0,218.0,252.0,240.0,221.0,243.0,242.0,226.0,237.0,243.0,252.0,213.0,212.0,234.0,230.0,258.0,269.0,202.0,212.0
dbc746aa-f132-4c6c-97ae-7c59e8ab62c6,200.0,246.0,236.0,231.0,200.0,244.0,214.0,200.0,247.0,242.0,241.0,200.0,200.0,234.0,225.0,242.0,200.0,200.0,200.0,213.0
18527f56-499f-416b-bef4-c2e20f654223,200.0,246.0,220.0,239.0,200.0,200.0,227.0,200.0,200.0,239.0,243.0,200.0,200.0,226.0,213.0,240.0,246.0,200.0,200.0,228.0
40a8299e-7d0a-4e0b-9db5-bb3530854cc4,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0
16f17cbd-0dd3-4785-ba48-b249eab8c032,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,205.0
93a72bf6-386f-4f09-855a-762ab0745cb8,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0
28f05d7e-5c30-4b27-9f81-d88d20d08ac6,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0
9d3fa57e-444f-421f-9c72-ca655aa75e30,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0
fa7f5e1c-3016-450a-a778-6aaca9ba1d4a,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
40269c75-24f2-4034-a1d5-bcab7d701900,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
3a100534-7b8b-4536-9e35-73b4ae6b2a59,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0
