,index,K12
0,818c76aa1c8fcfcb,94
1,97f1b70e713a41d2,81
2,f0bc3d2ccb399a00,75
3,c3d96dabaff54bd7,71
4,2fb9ae05f5dbf8f4,68
5,78ee58cdb4226247,67
6,6a82ef5b6ade294f,53
7,2d6033a738d88128,47
8,5e4d035e3a82ec8f,41
9,e8d5c3925e6f81dc,37
10,72534f939c5c21ad,36
11,5722fbb959dd3b5f,34
12,7046315c2f4318d1,34
13,376b9d520656fcf6,32
14,b8f10aaedb07d12d,32
15,210be76195db767d,31
16,b38062e518b8d4c0,31
17,b9048a80d75753dd,25
18,c7d4d8dbe543a241,25
19,2ac01c3be4bef1a8,24
20,16dae636cd15d083,21
21,c242db3e662da86f,19
22,f6d41e8253fd1557,18
23,f4797fd07d9b0e1c,18
24,6ff8347c8020b03b,18
25,fafa5c631c330706,17
26,8a8b0c99d9f1f910,17
27,fca90e7f73f3c8ef,16
28,bf89a4e153987abf,15
29,1391cb44ac8ba256,15
30,5a0417341938a336,14
31,7e37deee250514a6,14
32,174fc33c6a0afe1c,14
33,36e3ba891d1c6de9,13
34,99e0a9007f895712,12
35,23199387bcfbb9e8,12
36,ab7564a2fb726271,11
37,f44c2f6467ab0b2f,11
38,fc4f04e287746c48,11
39,bff33744230b20b4,11
40,ade86ddc910cca5d,10
41,1c98bb7426890cab,10
42,4fe1e24de9b82425,10
43,324ac734097de5e4,10
44,224cb2b5b4003e76,10
45,7a7db90bb874541c,10
46,f02a8939f561d999,9
47,15a4f90e8406d67f,9
48,38947a039e18c243,9
49,18d0fde54d625b72,9
50,b5cff54170800355,8
51,8169e84322417aed,8
52,b98e053d818ba3b8,7
53,464b3512caec3118,7
54,46ff3f009d45d3ad,7
55,2cb16b6371fe42b9,7
56,5981c24be4fc6aea,6
57,a713bbe60270e057,6
58,bc10749c7f42ad15,6
59,e5e0367fda5fa366,6
60,3ac8475a5d6ac5b2,5
61,a36ccf9abc1281b3,5
62,75d83af8e69f7bf0,5
63,95679b06c5699baf,5
64,3379d2ec4e76cd8f,4
65,7b7b9b0586cad55f,4
66,2a0b7ccd97197bba,4
67,ee04dd44934ec970,4
68,fcf75bf82d3910d3,4
69,c645ba81d289bf55,4
70,9ac2391e4e5abbb4,4
71,9d04624722195bfa,4
72,eba92210accc774c,4
73,c03f486cd729d17f,4
74,a3f8dde0ad4e7fad,3
75,4dcc96355d433362,3
76,ab47cd4fe7651b41,3
77,f9f7dea4acd045b8,3
78,a0c0b42e3496ea24,3
79,c5af170cf940e117,3
80,611b9383bb0b9d0a,3
81,d6a44061d2f8060a,3
82,9764914b9780dbe9,3
83,8b9f17e47e6282fc,3
84,33b7b9342fad7a02,2
85,5aa0a1b2c59ce8bf,2
86,11b047e4eb0d8953,2
87,7cfc7219c062f6ab,2
88,a371989fdaf6c30f,2
89,5ffce9d509e24baa,2
90,5b9834ef1db9cdf7,2
91,c6244390617e6308,2
92,f84012520bbc7adf,2
93,cd6c046d07033b23,2
94,80db1b81c060f8bc,2
95,f222713161b44518,2
96,3554bb31d2f1e395,2
97,83ad752c30881145,2
98,d61be2d7e9e0b9c6,2
99,7358119ada85d645,2
100,dc7618f50e5e4863,2
101,f584ef3cb4e7f531,2
102,fc7174e6f65adf33,2
103,f5f1c15e51818d03,2
104,2fc4a781172e5e6c,2
105,60ec687843fc7149,2
106,a6d34805751d3367,1
107,79842dbaed2aa108,1
108,3b2c4ba92d860331,1
109,4fe2c4892f0c943b,1
110,2a5246b0be1dbc05,1
111,540c52b7e01f864c,1
112,c3b1a0bcf0178bcb,1
113,c2952fd9d9d05672,1
114,27a2dc7722173835,1
115,1e548fe99b61af8c,1
116,18a1fece22fdc8f6,1
117,bc624dcb55c28bee,1
118,871e09317d5f6287,1
119,500c0a3f9c42bf90,1
120,64356f801abddfa2,1
121,c4cc0395a5f1c9ec,1
122,6a9dea4962e9c96f,1
123,4a1da90c6b8dd409,1
124,4bea4baa91123a12,1
125,bb14d7d33e7fb5ce,1
126,b5596b3b6892e2af,1
127,5ecd7192f57f5c2b,1
128,95718c051dae97ec,1
129,a05a4e683d31c3fb,1
130,a5c3195e952bcd5d,1
131,7cfd6918d208e604,1
132,1704d0c84a54f3e1,1
133,f0847c13a931adc6,1
134,67b3cf0f73f10d34,1
135,e5a539da392602b0,1
136,ff60782591147945,1
137,2ccc6acd934d6c9b,1
138,ee900ea7fafc20bb,1
139,ba745391ce3a1ac4,1
140,3c3ee02253fb5546,1
